Iteration,XGB_minus_RF_Test_R2
1,0.007683916850220407
2,0.003002613703341428
3,0.003672294805274867
4,0.0027623623481587423
5,0.006271133820942465
6,0.0037701725461332103
7,0.004935518158961094
8,0.0010330612819795526
9,-0.0004154973902166237
10,0.0005500460267940932
11,-0.0016413993180433017
12,-0.0008984476693417731
13,-0.0005875468475244894
14,0.000800461102739014
15,0.0018509912951134577
16,0.0023865088346037844
17,0.0031816763857067665
18,0.0043660385951733716
19,0.005673080952302678
20,0.005580512661872095
21,0.002660729018891028
22,0.002197187024637004
23,-0.0007455513290770543
24,-0.0006153056707439708
25,-0.001526812561332469
26,0.006326403048798834
27,0.00412136370444538
28,0.0029191218688791043
29,0.0034533142556960605
30,0.003226527016314762
31,0.0023225256882690726
32,0.003438237560348778
33,0.0028452919864379034
34,-0.0008912403305079142
35,-0.0007384083426964505
36,0.0012861364348097926
37,0.0011210985621343816
38,0.004330925221579962
39,0.0034735857562020467
40,0.0030607859593535514
41,0.002136515863905064
42,0.0028720730870596123
43,0.0038104063228683316
44,-0.0005048650989228909
45,0.001759965574083755
46,0.003956149132847808
47,0.0039195933270089744
48,0.0035709692184809905
49,0.003638573747526186
50,0.0042827458712013655
51,0.004228002839019918
52,0.0010165702720237313
53,0.0032950180274707863
54,0.004952177811603176
55,0.003994208312512404
56,0.0031999335432834064
57,0.002816764557039164
58,0.00583357371892923
59,0.005921554604878088
60,0.003604602791420941
61,-0.002195297830833831
62,0.0014777232354677983
63,0.002951858438788757
64,0.0026125132281001884
65,0.00010357026430685146
66,0.0028550032609662157
67,0.006957399833668054
68,0.0020640408449856817
69,0.0021814615773183554
70,0.00041251345691484254
71,0.003963710287032796
72,0.0003832119216943264
73,0.003084180931862024
74,0.000463982841959365
75,0.0036014705930625945
76,0.0069326601530625975
77,0.00043400507350488393
78,0.0013449581799537258
79,0.001616708947113299
80,-0.000511425964150547
81,0.0042307892587003515
82,0.003229726136683375
83,0.00015699311478822864
84,0.003582079740202415
85,0.0007375454260424297
86,0.008344428654645242
87,0.001696223985369394
88,0.004364493025554195
89,0.0033600035529970373
90,0.0017325481872439985
91,0.005367696899410523
92,-3.7386702651964754e-05
93,0.00512840437571882
94,-0.0001299174011459847
95,0.0053483463395793684
96,0.0009387489575185537
97,0.0037378078062813014
98,0.003241619985378863
99,-0.00495701188878972
100,0.00477686844624825
101,0.0031559197954208473
102,0.0011315896843170359
103,0.0016321388837978734
104,0.002992067079403471
105,0.0015120715116037076
106,0.0019214254587911483
107,0.002858937716605947
