Genus,N_Test_Rows,Clockwise_Order,Display_Variable,Model_Feature,Category,SHAP_P05,SHAP_P95,Absolute_P05_Plus_P95,Robust_SHAP_Range_P05_P95,Mean_Absolute_SHAP,High_minus_Low_SHAP_for_Display_Variable,Feature_SHAP_Spearman_for_Display_Variable,Decile_Monotonicity_Score,Previous_Association_Class,Association_Class,Classification_Changed_After_Audit,Classification_Reason,Plot_Color,Feature_Share_of_Genus_Absolute_SHAP_Impact
Sorbus,158,9,Radiation,avg_radiation,Atmosphere,-0.0556501392275095,0.0861930269747972,0.1418431662023067,0.1418431662023067,0.0383726070112625,-0.0936244742013514,-0.8313223778559198,0.9175866314286344,Negative association,Negative association,False,Directional Spearman and decile pattern,#9BD5E6,0.1138709186448868
Sorbus,158,10,Noise,avg_noise_day,Atmosphere,-0.1597158066928386,0.0771428700536489,0.2368586767464875,0.2368586767464876,0.0546585784169927,-0.1399801076356105,-0.921648984226423,0.9830460853969464,Negative association,Negative association,False,Directional Spearman and decile pattern,#9BD5E6,0.19014885124367875
Sorbus,158,11,Illumination,lightemiss,Atmosphere,-0.039085778594017,0.0224214879795909,0.061507266573607895,0.0615072665736079,0.0189174768109503,0.0050918431690703,-0.0538157637266062,0.5993106048900605,Nonlinear association,Nonlinear association,False,Weak overall direction: |Spearman| < 0.25,#B9BEC5,0.04937769746399506
Tilia,1540,1,View factor,avg_svf,Structure,-0.0588250422850251,0.0940590240061283,0.1528840662911534,0.1528840662911534,0.0419650333893089,-0.0982836647959977,-0.8288922280538354,0.7989735908224844,Negative association,Negative association,False,Directional Spearman and decile pattern,#9CCFAE,0.11484301462993995
Tilia,1540,2,Diversity,Mono_Rate,Structure,-0.0797467768192291,0.0412659684196114,0.12101274523884051,0.1210127452388405,0.0362189447512341,0.066471380275366,0.8127383059233105,1.0,Positive association,Positive association,False,Directional Spearman and decile pattern,#1F7A4D,0.09090200705027644
Tilia,1540,3,Density,Density25,Structure,-0.1193481162190437,0.0732863318175077,0.1926344480365514,0.1926344480365514,0.0640093404418846,0.112368037764468,0.7659250136094279,0.9410369707179417,Positive association,Positive association,False,Directional Spearman and decile pattern,#1F7A4D,0.1447025924334157
Tilia,1540,4,Park condition,type_Puisto,Structure,-0.0314214006066322,0.0356068853288888,0.067028285935521,0.0670282859355211,0.0178883163683935,0.0336223957189236,,1.0,Positive association,Positive association,False,Binary indicator: sign of high-minus-low SHAP contrast,#1F7A4D,0.050350115672965094
Tilia,1540,5,Moraine,soil_moraine,Soil,0.0008811184234218,0.0073424501344561,0.0082235685578779,0.0064613317110342,0.0047510745330162,-0.0573766371605846,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#F3A187,0.006177356654055287
Tilia,1540,6,Infill,soil_infill,Soil,-0.0207774997688829,0.0250813248567283,0.0458588246256112,0.0458588246256113,0.0147222324061658,0.0297033356369762,,1.0,Positive association,Positive association,False,Binary indicator: sign of high-minus-low SHAP contrast,#D84A36,0.03444810041460591
Tilia,1540,7,Bedrock,soil_bedrock,Soil,-0.0506885720416903,0.0519506871700286,0.1026392592117189,0.102639259211719,0.0343397533210363,-0.0685442426734777,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#F3A187,0.07710026448936562
