stage,n,R2_log_SGR,RMSE_log_SGR,MAE_log_SGR,RMSE_annual_percentage_points,MAE_annual_percentage_points,RMSE_kg_C_tree_year,MAE_kg_C_tree_year
validation_model_selection,5575,0.42680346965789795,1.0598965893991883,0.7868313789367676,11.953805669402216,4.424349073403076,8.384526374910351,5.164948375223337
locked_test_after_85pct_refit,5578,0.43087717582059326,1.0616179486698853,0.7792202570861142,23.10761451990558,4.410360756001334,7.8974052008301765,4.963730368915546
