feature,minimum_SHAP,maximum_SHAP,full_SHAP_range,P05_SHAP,P95_SHAP,robust_P05_P95_range,mean_absolute_SHAP,high_minus_low_SHAP,feature_SHAP_Spearman
Tree density (25 m),-0.2555249035358429,0.33513107895851135,0.5906559824943542,-0.12208177149295807,0.1932198703289032,0.31530165672302246,0.08755002170801163,0.2431061565876007,0.8722427603625108
Solar radiation,-0.26486736536026,0.2660444974899292,0.5309118628501892,-0.15290933847427368,0.19568128883838654,0.348590612411499,0.0807267352938652,-0.287027508020401,-0.9539334083417198
Monoculture rate,-0.24264858663082123,0.15704353153705597,0.3996921181678772,-0.12641233205795288,0.05201808363199234,0.17843040823936462,0.04610086604952812,-0.12932837009429932,-0.6516101011863247
Sky-view factor,-0.11220777779817581,0.13074180483818054,0.24294957518577576,-0.07395949214696884,0.08579312264919281,0.15975260734558105,0.04404376819729805,-0.08902144432067871,-0.7336936307080623
Land-surface temperature,-0.3121667802333832,0.14899879693984985,0.46116557717323303,-0.10754112899303436,0.06084415689110756,0.16838528215885162,0.03881176933646202,0.040858443826436996,0.18300500812265222
Daytime noise,-0.2646420896053314,0.19777707755565643,0.46241915225982666,-0.0900074765086174,0.0710172951221466,0.1610247790813446,0.03649405762553215,-0.09811977297067642,-0.8601095726288642
Night illumination,-0.13084548711776733,0.13546094298362732,0.26630643010139465,-0.050489604473114014,0.05557673051953316,0.10606633126735687,0.020487206056714058,-0.01688922569155693,-0.09639398517649919
