Contrast,Permuted_Block,Stratification,Permuted_Feature_Count,Full_Test_R2,Direct_Nested_Delta_R2,Direct_Nested_Partial_R2,Permutation_Mean_R2_Loss,Permutation_Median_R2_Loss,Permutation_SD_R2_Loss,Permutation_P02_5_R2_Loss,Permutation_P97_5_R2_Loss,Permutation_Min_R2_Loss,Permutation_Max_R2_Loss,Permutation_Repetitions,Probability_R2_Loss_Positive,Strata_Count,Minimum_Stratum_Rows,Median_Stratum_Rows,Maximum_Stratum_Rows,Singleton_Strata
Environment conditional on species and monitoring period,Measured environment,Species_Name_Model + Period,11,0.6105719816629462,0.0220253467559814,0.053530633,0.04479585694652959,0.04468158411348466,0.0022987409696630027,0.040057097041515416,0.04897706927311147,0.038071496259454385,0.05085005089634598,300,1.0,33,19,127.0,850,0
Added block relative to height-species biological baseline,Monitoring period + measured environment,Species_Name_Model,14,0.6105719816629462,0.0518399638637117,0.117479549740198,0.10236798069959747,0.10243943874151973,0.0036420431135945064,0.09554089536747162,0.10975439338052617,0.09278618184799348,0.11343561682838788,300,1.0,11,115,401.0,2217,0
