Feature,Feature_Label,N_Observations,N_Trees,Unique_Feature_Values,Mean_Absolute_SHAP,SHAP_P05,SHAP_P95,Feature_SHAP_Spearman,Linear_GroupCV_R2,Spline_GroupCV_R2,Spline_Minus_Linear_GroupCV_R2,Binned_Mean_Sign_Changes,Peak_Bin_Label,Peak_Feature_Median,Peak_Mean_SHAP,Trough_Bin_Label,Trough_Feature_Median,Trough_Mean_SHAP
avg_LST,Land-surface temperature,6845,3341,3174,0.029441911428106614,-0.08381767479999999,0.04817250259999993,0.16256772125010466,0.03563036430813715,0.4689739960780033,0.4333436317698661,2,Q4,24.738096,0.022659093164486804,Q1,21.3764745,-0.06552441362250729
lightemiss,Nighttime illumination,6845,3341,17,0.017368832078341313,-0.0468509876,0.0274458756,0.1443302332492031,0.006834426219505807,0.33734243546177123,0.3305080092422654,4,80,80.0,0.01834251911831171,130–160,140.0,-0.047076198631152075
type_Puisto,Park context,6845,3341,2,0.010077086424465916,-0.0211048572,0.026493532999999958,0.2733954219015173,,,,1,Park,1.0,0.0057569719351453314,Street/non-park,0.0,-0.0024465171568973697
