Threshold_Group,Threshold_Number,Threshold
Overall,1,1.0358217654252309
Overall,2,1.741130722851748
Overall,3,2.6435599157010072
Overall,4,4.002259903982546
Overall,5,6.5287286242543106
Overall,6,13.234468406715248
